tick,agent_id,personality,position,inventory,action_type,action_detail,result,message,resources_remaining
15,A4,deceptive,"(5, 0)",7,collect,{'type': 'collect'},collected,,10
16,A4,deceptive,"(5, 1)",7,move,"{'type': 'move', 'direction': 'S'}",moved_S,,10
16,A1,cooperative,"(1, 7)",6,collect,{'type': 'collect'},collected,,9
16,A3,cooperative,"(0, 6)",4,move,"{'type': 'move', 'direction': 'W'}",moved_W,,9
16,A2,neutral,"(2, 9)",5,collect,{'type': 'collect'},collected,,8
17,A3,cooperative,"(0, 6)",5,collect,{'type': 'collect'},collected,,7
17,A2,neutral,"(1, 9)",5,move,"{'type': 'move', 'direction': 'W'}",moved_W,,7
17,A4,deceptive,"(5, 1)",8,collect,{'type': 'collect'},collected,,6
17,A1,cooperative,"(0, 7)",6,move,"{'type': 'move', 'direction': 'W'}",moved_W,,6
18,A3,cooperative,"(0, 6)",5,move,"{'type': 'move', 'direction': 'S'}",move_blocked,,6
18,A1,cooperative,"(0, 7)",7,collect,{'type': 'collect'},collected,,5
18,A4,deceptive,"(6, 1)",8,move,"{'type': 'move', 'direction': 'E'}",moved_E,,5
18,A2,neutral,"(2, 9)",5,move,"{'type': 'move', 'direction': 'E'}",moved_E,,5
19,A3,cooperative,"(0, 6)",7,raid,"{'type': 'raid', 'target_id': 'A1'}",raided_A1_stole_2,,5
19,A1,cooperative,"(0, 7)",7,raid,"{'type': 'raid', 'target_id': 'A3'}",raided_A3_stole_2,,5
19,A4,deceptive,"(6, 0)",8,move,"{'type': 'move', 'direction': 'N'}",moved_N,,5
19,A2,neutral,"(2, 8)",5,move,"{'type': 'move', 'direction': 'N'}",moved_N,,5
20,A2,neutral,"(3, 8)",5,move,"{'type': 'move', 'direction': 'E'}",moved_E,,5
20,A4,deceptive,"(6, 0)",9,collect,{'type': 'collect'},collected,,4
20,A1,cooperative,"(0, 7)",7,move,"{'type': 'move', 'direction': 'W'}",move_blocked,,4
20,A3,cooperative,"(0, 6)",6,raid,"{'type': 'raid', 'target_id': 'A1'}",raided_A1_stole_1,,4
21,A3,cooperative,"(0, 6)",6,move,"{'type': 'move', 'direction': 'S'}",move_blocked,,4
21,A4,deceptive,"(6, 1)",9,move,"{'type': 'move', 'direction': 'S'}",moved_S,,4
21,A2,neutral,"(2, 8)",5,move,"{'type': 'move', 'direction': 'W'}",moved_W,,4
21,A1,cooperative,"(0, 7)",6,move,"{'type': 'move', 'direction': 'N'}",move_blocked,,4
22,A2,neutral,"(2, 9)",5,move,"{'type': 'move', 'direction': 'S'}",moved_S,,4
22,A1,cooperative,"(0, 7)",6,move,"{'type': 'move', 'direction': 'N'}",move_blocked,,4
22,A3,cooperative,"(0, 6)",6,move,"{'type': 'move', 'direction': 'S'}",move_blocked,,4
22,A4,deceptive,"(6, 2)",9,move,"{'type': 'move', 'direction': 'S'}",moved_S,,4
23,A2,neutral,"(2, 9)",5,move,"{'type': 'move', 'direction': 'S'}",move_blocked,,4
23,A1,cooperative,"(0, 7)",6,move,"{'type': 'move', 'direction': 'W'}",move_blocked,,4
23,A3,cooperative,"(0, 6)",6,move,"{'type': 'move', 'direction': 'S'}",move_blocked,,4
23,A4,deceptive,"(6, 2)",10,collect,{'type': 'collect'},collected,,3
24,A4,deceptive,"(7, 2)",10,move,"{'type': 'move', 'direction': 'E'}",moved_E,,3
24,A3,cooperative,"(0, 6)",6,move,"{'type': 'move', 'direction': 'W'}",move_blocked,,3
24,A1,cooperative,"(0, 7)",6,move,"{'type': 'move', 'direction': 'N'}",move_blocked,,3
24,A2,neutral,"(3, 9)",5,move,"{'type': 'move', 'direction': 'E'}",moved_E,,3
25,A2,neutral,"(4, 9)",5,move,"{'type': 'move', 'direction': 'E'}",moved_E,,3
25,A1,cooperative,"(0, 7)",6,move,"{'type': 'move', 'direction': 'N'}",move_blocked,,3
25,A4,deceptive,"(7, 1)",10,move,"{'type': 'move', 'direction': 'N'}",moved_N,,3
25,A3,cooperative,"(0, 5)",6,move,"{'type': 'move', 'direction': 'N'}",moved_N,,3
26,A3,cooperative,"(0, 5)",6,move,"{'type': 'move', 'direction': 'W'}",move_blocked,,3
26,A2,neutral,"(5, 9)",5,move,"{'type': 'move', 'direction': 'E'}",moved_E,,3
26,A1,cooperative,"(0, 8)",6,move,"{'type': 'move', 'direction': 'S'}",moved_S,,3
26,A4,deceptive,"(8, 1)",10,move,"{'type': 'move', 'direction': 'E'}",moved_E,,3
27,A2,neutral,"(5, 9)",5,move,"{'type': 'move', 'direction': 'S'}",move_blocked,,3
27,A4,deceptive,"(8, 0)",10,move,"{'type': 'move', 'direction': 'N'}",moved_N,,3
27,A1,cooperative,"(0, 8)",6,move,"{'type': 'move', 'direction': 'W'}",move_blocked,,3
27,A3,cooperative,"(0, 6)",6,move,"{'type': 'move', 'direction': 'S'}",moved_S,,3
28,A1,cooperative,"(1, 8)",6,move,"{'type': 'move', 'direction': 'E'}",moved_E,,3
28,A3,cooperative,"(0, 5)",6,move,"{'type': 'move', 'direction': 'N'}",moved_N,,3
28,A4,deceptive,"(8, 0)",11,collect,{'type': 'collect'},collected,,2
28,A2,neutral,"(5, 9)",5,move,"{'type': 'move', 'direction': 'S'}",move_blocked,,2
29,A3,cooperative,"(0, 5)",6,move,"{'type': 'move', 'direction': 'W'}",move_blocked,,2
29,A1,cooperative,"(1, 7)",6,move,"{'type': 'move', 'direction': 'N'}",moved_N,,2
29,A4,deceptive,"(9, 0)",11,move,"{'type': 'move', 'direction': 'E'}",moved_E,,2
29,A2,neutral,"(4, 9)",5,move,"{'type': 'move', 'direction': 'W'}",moved_W,,2
30,A3,cooperative,"(0, 4)",6,move,"{'type': 'move', 'direction': 'N'}",moved_N,,2
30,A1,cooperative,"(2, 7)",6,move,"{'type': 'move', 'direction': 'E'}",moved_E,,2
30,A2,neutral,"(3, 9)",5,move,"{'type': 'move', 'direction': 'W'}",moved_W,,2
30,A4,deceptive,"(9, 1)",11,move,"{'type': 'move', 'direction': 'S'}",moved_S,,2
31,A1,cooperative,"(2, 8)",6,move,"{'type': 'move', 'direction': 'S'}",moved_S,,2
31,A4,deceptive,"(9, 1)",12,collect,{'type': 'collect'},collected,,1
31,A3,cooperative,"(1, 4)",6,move,"{'type': 'move', 'direction': 'E'}",moved_E,,1
31,A2,neutral,"(3, 9)",5,move,"{'type': 'move', 'direction': 'S'}",move_blocked,,1
32,A2,neutral,"(4, 9)",5,move,"{'type': 'move', 'direction': 'E'}",moved_E,,1
32,A1,cooperative,"(2, 7)",6,move,"{'type': 'move', 'direction': 'N'}",moved_N,,1
32,A4,deceptive,"(8, 1)",12,move,"{'type': 'move', 'direction': 'W'}",moved_W,,1
32,A3,cooperative,"(2, 4)",6,move,"{'type': 'move', 'direction': 'E'}",moved_E,,1
33,A1,cooperative,"(2, 6)",6,move,"{'type': 'move', 'direction': 'N'}",moved_N,,1
33,A2,neutral,"(4, 8)",5,move,"{'type': 'move', 'direction': 'N'}",moved_N,,1
33,A4,deceptive,"(8, 0)",12,move,"{'type': 'move', 'direction': 'N'}",moved_N,,1
33,A3,cooperative,"(2, 5)",6,move,"{'type': 'move', 'direction': 'S'}",moved_S,,1
34,A3,cooperative,"(3, 5)",6,move,"{'type': 'move', 'direction': 'E'}",moved_E,,1
34,A4,deceptive,"(9, 0)",12,move,"{'type': 'move', 'direction': 'E'}",moved_E,,1
34,A1,cooperative,"(3, 6)",6,move,"{'type': 'move', 'direction': 'E'}",moved_E,,1
34,A2,neutral,"(5, 8)",5,move,"{'type': 'move', 'direction': 'E'}",moved_E,,1
35,A2,neutral,"(6, 8)",5,move,"{'type': 'move', 'direction': 'E'}",moved_E,,1
35,A3,cooperative,"(3, 5)",6,move,"{'type': 'move', 'direction': 'S'}",move_blocked,,1
35,A4,deceptive,"(8, 0)",12,move,"{'type': 'move', 'direction': 'W'}",moved_W,,1
35,A1,cooperative,"(3, 7)",6,move,"{'type': 'move', 'direction': 'S'}",moved_S,,1
36,A4,deceptive,"(7, 0)",12,move,"{'type': 'move', 'direction': 'W'}",moved_W,,1
36,A1,cooperative,"(3, 6)",6,move,"{'type': 'move', 'direction': 'N'}",moved_N,,1
36,A3,cooperative,"(2, 5)",6,move,"{'type': 'move', 'direction': 'W'}",moved_W,,1
36,A2,neutral,"(6, 9)",5,move,"{'type': 'move', 'direction': 'S'}",moved_S,,1
37,A3,cooperative,"(1, 5)",6,move,"{'type': 'move', 'direction': 'W'}",moved_W,,1
37,A4,deceptive,"(7, 0)",12,move,"{'type': 'move', 'direction': 'N'}",move_blocked,,1
37,A2,neutral,"(6, 9)",5,move,"{'type': 'move', 'direction': 'S'}",move_blocked,,1
37,A1,cooperative,"(3, 5)",6,move,"{'type': 'move', 'direction': 'N'}",moved_N,,1
38,A3,cooperative,"(1, 4)",6,move,"{'type': 'move', 'direction': 'N'}",moved_N,,1
38,A1,cooperative,"(2, 5)",6,move,"{'type': 'move', 'direction': 'W'}",moved_W,,1
38,A4,deceptive,"(8, 0)",12,move,"{'type': 'move', 'direction': 'E'}",moved_E,,1
38,A2,neutral,"(6, 8)",5,move,"{'type': 'move', 'direction': 'N'}",moved_N,,1
39,A4,deceptive,"(8, 0)",12,move,"{'type': 'move', 'direction': 'N'}",move_blocked,,1
39,A2,neutral,"(6, 7)",5,move,"{'type': 'move', 'direction': 'N'}",moved_N,,1
39,A1,cooperative,"(1, 5)",6,move,"{'type': 'move', 'direction': 'W'}",moved_W,,1
39,A3,cooperative,"(1, 3)",6,move,"{'type': 'move', 'direction': 'N'}",moved_N,,1
40,A2,neutral,"(5, 7)",5,move,"{'type': 'move', 'direction': 'W'}",moved_W,,1
40,A1,cooperative,"(1, 6)",6,move,"{'type': 'move', 'direction': 'S'}",moved_S,,1
40,A3,cooperative,"(1, 2)",6,move,"{'type': 'move', 'direction': 'N'}",moved_N,,1
40,A4,deceptive,"(7, 0)",12,move,"{'type': 'move', 'direction': 'W'}",moved_W,,1
41,A4,deceptive,"(7, 1)",12,move,"{'type': 'move', 'direction': 'S'}",moved_S,,1
41,A2,neutral,"(5, 6)",5,move,"{'type': 'move', 'direction': 'N'}",moved_N,,1
41,A3,cooperative,"(1, 1)",6,move,"{'type': 'move', 'direction': 'N'}",moved_N,,1
41,A1,cooperative,"(0, 6)",6,move,"{'type': 'move', 'direction': 'W'}",moved_W,,1
42,A4,deceptive,"(8, 1)",12,move,"{'type': 'move', 'direction': 'E'}",moved_E,,1
42,A2,neutral,"(4, 6)",5,move,"{'type': 'move', 'direction': 'W'}",moved_W,,1
42,A3,cooperative,"(0, 1)",6,move,"{'type': 'move', 'direction': 'W'}",moved_W,,1
42,A1,cooperative,"(1, 6)",6,move,"{'type': 'move', 'direction': 'E'}",moved_E,,1
43,A3,cooperative,"(0, 0)",6,move,"{'type': 'move', 'direction': 'N'}",moved_N,,1
43,A2,neutral,"(4, 5)",5,move,"{'type': 'move', 'direction': 'N'}",moved_N,,1
43,A1,cooperative,"(1, 5)",6,move,"{'type': 'move', 'direction': 'N'}",moved_N,,1
43,A4,deceptive,"(8, 0)",12,move,"{'type': 'move', 'direction': 'N'}",moved_N,,1
44,A3,cooperative,"(0, 0)",7,collect,{'type': 'collect'},collected,,0
44,A2,neutral,"(3, 5)",5,move,"{'type': 'move', 'direction': 'W'}",moved_W,,0
44,A4,deceptive,"(7, 0)",12,move,"{'type': 'move', 'direction': 'W'}",moved_W,,0
44,A1,cooperative,"(2, 5)",6,move,"{'type': 'move', 'direction': 'E'}",moved_E,,0
